SalesOrderID,CustomerID,ProductID,OrderDate,Quantity,ShipmentDate,OrderStatus
SO00001,CUST0070,P0768,2024-08-22 15:41:45.360357,65,2024-07-09 15:41:45.379802,In Process
SO00002,CUST0232,P0654,2024-07-04 15:41:45.360388,91,2024-03-18 15:41:45.379809,In Process
SO00003,CUST0126,P0071,2024-01-06 15:41:45.360395,65,2024-02-09 15:41:45.379812,Shipped
SO00004,CUST0023,P0191,2024-08-22 15:41:45.360401,18,2024-10-25 15:41:45.379815,Shipped
SO00005,CUST0262,P0429,2024-10-08 15:41:45.360406,92,2024-07-20 15:41:45.379818,In Process
SO00006,CUST0105,P0703,2024-06-26 15:41:45.360412,98,2024-05-02 15:41:45.379822,In Process
SO00007,CUST0310,P0261,2024-01-22 15:41:45.360418,2,2024-08-18 15:41:45.379825,Shipped
SO00008,CUST0177,P0623,2024-03-23 15:41:45.360423,93,2024-01-04 15:41:45.379828,In Process
SO00009,CUST0318,P0266,2024-02-08 15:41:45.360428,65,2024-10-13 15:41:45.379833,Shipped
SO00010,CUST0139,P0818,2024-05-14 15:41:45.360433,88,2024-10-25 15:41:45.379836,Shipped
SO00011,CUST0049,P0728,2024-01-29 15:41:45.360437,32,2024-01-09 15:41:45.379839,Shipped
SO00012,CUST0335,P0514,2023-12-10 15:41:45.360443,2,2023-12-08 15:41:45.379842,In Process
SO00013,CUST0341,P0469,2024-08-16 15:41:45.360447,37,2024-08-14 15:41:45.379845,In Process
SO00014,CUST0335,P0654,2024-07-28 15:41:45.360452,32,2023-12-14 15:41:45.379848,Shipped
SO00015,CUST0184,P0818,2024-09-18 15:41:45.360457,61,2024-05-22 15:41:45.379850,Shipped
SO00016,CUST0344,P0145,2023-12-18 15:41:45.360459,82,2023-12-22 15:41:45.379853,In Process
SO00017,CUST0478,P0171,2024-08-23 15:41:45.360462,50,2024-09-29 15:41:45.379856,Cancelled
SO00018,CUST0186,P0134,2024-05-17 15:41:45.360466,91,2024-06-06 15:41:45.379859,Cancelled
SO00019,CUST0200,P0758,2024-07-15 15:41:45.360468,86,2024-03-21 15:41:45.379862,Shipped
SO00020,CUST0057,P0106,2023-11-18 15:41:45.360471,35,2024-07-03 15:41:45.379867,Cancelled
SO00021,CUST0227,P0166,2023-12-01 15:41:45.360474,86,2024-05-22 15:41:45.379871,Cancelled
SO00022,CUST0176,P0100,2024-07-15 15:41:45.360477,3,2024-06-01 15:41:45.379876,Cancelled
SO00023,CUST0083,P0922,2024-05-27 15:41:45.360480,46,2024-04-18 15:41:45.379880,Cancelled
SO00024,CUST0444,P0181,2024-07-23 15:41:45.360483,25,2024-08-22 15:41:45.379885,Shipped
SO00025,CUST0445,P0479,2024-06-09 15:41:45.360487,87,2023-12-27 15:41:45.379889,Shipped
SO00026,CUST0419,P0279,2024-04-12 15:41:45.360492,39,2024-05-24 15:41:45.379894,Shipped
SO00027,CUST0465,P0220,2024-01-27 15:41:45.360497,73,2023-12-25 15:41:45.379900,Cancelled
SO00028,CUST0361,P0658,2024-01-24 15:41:45.360502,10,2024-06-24 15:41:45.379905,Cancelled
SO00029,CUST0124,P0161,2023-11-23 15:41:45.360506,16,2024-10-13 15:41:45.379910,Cancelled
SO00030,CUST0118,P0658,2024-02-02 15:41:45.360511,32,2024-01-24 15:41:45.379914,Shipped
SO00031,CUST0085,P0738,2024-09-01 15:41:45.360516,79,2023-11-17 15:41:45.379918,Cancelled
SO00032,CUST0083,P0304,2024-02-05 15:41:45.360520,18,2024-06-11 15:41:45.379922,Cancelled
SO00033,CUST0246,P0650,2024-06-22 15:41:45.360525,95,2024-08-11 15:41:45.379927,In Process
SO00034,CUST0090,P0484,2023-12-21 15:41:45.360530,41,2024-08-04 15:41:45.379931,In Process
SO00035,CUST0098,P0196,2024-09-01 15:41:45.360535,52,2024-05-29 15:41:45.379936,In Process
SO00036,CUST0149,P0418,2024-09-23 15:41:45.360541,53,2024-07-01 15:41:45.379941,Cancelled
SO00037,CUST0269,P0813,2024-04-14 15:41:45.360544,2,2024-06-29 15:41:45.379945,Cancelled
SO00038,CUST0141,P0906,2024-08-19 15:41:45.360547,19,2024-10-28 15:41:45.379950,In Process
SO00039,CUST0397,P0603,2024-10-05 15:41:45.360552,85,2024-04-20 15:41:45.379955,Cancelled
SO00040,CUST0495,P0337,2024-07-11 15:41:45.360556,55,2024-05-12 15:41:45.379959,Shipped
SO00041,CUST0247,P0787,2024-06-23 15:41:45.360561,65,2024-09-08 15:41:45.379963,Shipped
SO00042,CUST0332,P0786,2024-08-19 15:41:45.360566,79,2024-07-26 15:41:45.379968,In Process
SO00043,CUST0155,P0629,2024-10-09 15:41:45.360570,93,2024-10-31 15:41:45.379973,In Process
SO00044,CUST0043,P0195,2024-07-10 15:41:45.360574,6,2024-07-07 15:41:45.379977,In Process
SO00045,CUST0141,P0517,2024-04-25 15:41:45.360582,31,2024-10-28 15:41:45.379982,In Process
SO00046,CUST0133,P0884,2024-04-09 15:41:45.360587,58,2024-10-30 15:41:45.379986,In Process
SO00047,CUST0374,P0979,2024-07-21 15:41:45.360592,71,2024-03-06 15:41:45.379989,In Process
SO00048,CUST0081,P0183,2024-01-23 15:41:45.360596,23,2024-01-01 15:41:45.379994,Shipped
SO00049,CUST0339,P0836,2024-04-09 15:41:45.360599,61,2024-09-13 15:41:45.379999,Cancelled
SO00050,CUST0341,P0902,2024-05-29 15:41:45.360602,81,2023-11-11 15:41:45.380004,Shipped
SO00051,CUST0446,P0068,2024-08-22 15:41:45.360605,18,2023-12-27 15:41:45.380008,Cancelled
SO00052,CUST0266,P0933,2023-11-07 15:41:45.360607,70,2024-05-04 15:41:45.380013,In Process
SO00053,CUST0155,P0693,2024-08-28 15:41:45.360610,66,2024-01-30 15:41:45.380018,Cancelled
SO00054,CUST0411,P0617,2024-10-16 15:41:45.360614,86,2024-10-30 15:41:45.380023,Cancelled
SO00055,CUST0065,P0668,2024-02-10 15:41:45.360617,41,2024-06-06 15:41:45.380027,In Process
SO00056,CUST0047,P0645,2024-02-07 15:41:45.360620,55,2024-08-28 15:41:45.380032,In Process
SO00057,CUST0416,P0841,2024-02-05 15:41:45.360623,79,2024-01-29 15:41:45.380036,Shipped
SO00058,CUST0145,P0695,2024-06-22 15:41:45.360626,93,2024-07-15 15:41:45.380041,Cancelled
SO00059,CUST0382,P0527,2024-03-11 15:41:45.360628,32,2024-07-27 15:41:45.380045,Shipped
SO00060,CUST0081,P0448,2024-03-15 15:41:45.360631,85,2023-12-27 15:41:45.380049,In Process
SO00061,CUST0124,P0846,2024-09-03 15:41:45.360634,33,2024-02-29 15:41:45.380054,Cancelled
SO00062,CUST0384,P0195,2023-11-15 15:41:45.360636,79,2023-12-17 15:41:45.380058,In Process
SO00063,CUST0349,P0174,2024-05-06 15:41:45.360639,47,2024-02-23 15:41:45.380062,Cancelled
SO00064,CUST0051,P0606,2024-10-08 15:41:45.360642,86,2024-07-23 15:41:45.380067,In Process
SO00065,CUST0138,P0357,2024-07-31 15:41:45.360645,89,2024-02-20 15:41:45.380071,In Process
SO00066,CUST0185,P0310,2023-12-06 15:41:45.360648,84,2024-05-12 15:41:45.380076,Shipped
SO00067,CUST0381,P0226,2024-04-11 15:41:45.360651,4,2024-03-30 15:41:45.380081,In Process
SO00068,CUST0316,P0581,2024-08-31 15:41:45.360653,10,2024-01-02 15:41:45.380086,Shipped
SO00069,CUST0218,P0255,2024-02-03 15:41:45.360656,46,2024-02-01 15:41:45.380091,Cancelled
SO00070,CUST0149,P0471,2024-04-14 15:41:45.360659,92,2024-05-12 15:41:45.380094,In Process
SO00071,CUST0212,P0925,2024-04-18 15:41:45.360662,22,2024-02-13 15:41:45.380097,Cancelled
SO00072,CUST0199,P0566,2024-03-01 15:41:45.360664,36,2023-11-05 15:41:45.380099,Cancelled
SO00073,CUST0160,P0337,2023-12-07 15:41:45.360667,51,2024-07-06 15:41:45.380102,Shipped
SO00074,CUST0201,P0922,2024-10-21 15:41:45.360670,4,2024-09-24 15:41:45.380105,Cancelled
SO00075,CUST0219,P0456,2024-01-12 15:41:45.360673,51,2024-05-25 15:41:45.380107,In Process
SO00076,CUST0363,P0468,2024-10-06 15:41:45.360676,24,2024-07-02 15:41:45.380110,Shipped
SO00077,CUST0252,P0435,2023-12-14 15:41:45.360678,32,2023-11-18 15:41:45.380112,Shipped
SO00078,CUST0496,P0306,2024-10-10 15:41:45.360682,61,2024-06-03 15:41:45.380116,Shipped
SO00079,CUST0253,P0165,2024-04-30 15:41:45.360685,37,2024-02-22 15:41:45.380119,Shipped
SO00080,CUST0245,P0459,2023-11-13 15:41:45.360688,28,2023-11-15 15:41:45.380121,Cancelled
SO00081,CUST0485,P0239,2024-04-24 15:41:45.360691,67,2024-09-26 15:41:45.380124,Cancelled
